Numero de paciente,Tiempo de respuesta (segundos)
1,0.22840189999260474
2,0.07530290000431705
3,0.1671180999983335
4,0.16300529999716673
5,0.07324749999679625
6,0.09026799999992363
7,0.06185670000559185
8,0.05428689999098424
9,0.0591337000078056
10,0.059220399998594075
11,0.06164940001326613
12,0.07247990000178106
13,0.0530772999918554
14,0.0812444999901345
15,0.06429770000977442
16,0.0838240000011865
17,0.06984989999909885
18,0.07404999999562278
19,0.06046710000373423
20,0.046368099996470846
21,0.055631200011703186
22,0.04833800000778865
23,0.047769899989361875
24,0.04912000001058914
25,0.049793800004408695
26,0.05769490000966471
27,0.0480775000032736
28,0.05559509999875445
29,0.046890700003132224
30,0.04939870000816882
31,0.05475600001227576
32,0.10235630000534002
33,0.1449032999953488
34,0.20228559999668505
35,0.1240727000113111
36,0.09885460000077728
37,0.0954972000035923
38,0.05817869999737013
39,0.059544899995671585
40,0.05163190000166651
41,0.05986069999926258
42,0.0648600999993505
43,0.04884610000590328
44,0.05168839999532793
45,0.049470199999632314
46,0.047471300000324845
47,0.04494449999765493
48,0.04870499999378808
49,0.05117569999129046
50,0.04573220000020228
51,0.04836770000110846
52,0.046203799996874295
53,0.0488061999931233
54,0.04728369999793358
55,0.05098670000734273
56,0.04596529999980703
57,0.04694759999983944
58,0.05932519999623764
59,0.049441299997852184
60,0.06192600000940729
61,0.054364700001315214
62,0.054728099989006296
63,0.046298000001115724
64,0.048833799999556504
65,0.05410470000060741
66,0.057425699997111224
67,0.058240600003045984
68,0.05186140000296291
69,0.05106599999999162
70,0.04945330000191461
71,0.050644900009501725
72,0.05121520000102464
73,0.04955119999067392
74,0.05481449999206234
75,0.0622363000002224
76,0.04926780000096187
77,0.0512142999941716
78,0.04860750000807457
79,0.06952109999838285
80,0.052523100006510504
81,0.04873190000944305
82,0.05388820001098793
83,0.05425709999690298
84,0.060193199999048375
85,0.048455300013301894
86,0.048846199992112815
87,0.050139700004365295
88,0.05860829999437556
89,0.05821670001023449
90,0.06133310000586789
91,0.05096929999126587
92,0.05481599998893216
93,0.04805800000031013
94,0.05393290000210982
95,0.05151590000605211
96,0.06078090000664815
97,0.05449619999853894
98,0.04825999999593478
99,0.04780560001381673
100,0.05048510000051465
101,0.05984800000442192
102,0.06303469999693334
103,0.056810599999153055
104,0.049893000003066845
105,0.055648400011705235
106,0.04995630000485107
107,0.05469269999593962
108,0.05037840000295546
109,0.050270899999304675
110,0.05585380000411533
111,0.04829999999492429
112,0.04862299999513198
113,0.049190900012035854
114,0.04953469999600202
115,0.050996699996176176
116,0.052123400004347786
117,0.04851269999926444
118,0.04967249999754131
119,0.05103899999812711
120,0.049016099990694784
121,0.05800630000885576
122,0.055118099990068004
123,0.056215699994936585
124,0.055402199999662116
125,0.04595839999092277
126,0.07952430000295863
127,0.06942549999803305
128,0.05015650000132155
129,0.05335970000305679
130,0.05001339998852927
131,0.0477717999892775
132,0.05445830000098795
133,0.06857480001053773
134,0.07422590001078788
135,0.05771409999579191
136,0.05041999999957625
137,0.05260939999425318
138,0.05132250000315253
139,0.07452490000287071
140,0.05014800000935793
141,0.05242789999465458
142,0.050275400004466064
143,0.065174899995327
144,0.06449200000497513
145,0.05481629999121651
146,0.0514439999969909
147,0.06832059999578632
148,0.055484399999841116
149,0.060965099997702055
150,0.05405909998808056
151,0.06765029999951366
152,0.05709180000121705
153,0.09608269999444019
154,0.11088249999738764
155,0.12781239999458194
156,0.08546990000468213
157,0.052365700001246296
158,0.060393899999326095
159,0.05286359999445267
160,0.057841300003929064
161,0.05457010000827722
162,0.049111600004835054
163,0.055663000006461516
164,0.05428719999326859
165,0.05984170000010636
166,0.05017740000039339
167,0.050945499999215826
168,0.04905519999738317
169,0.05229350000445265
170,0.04729879999649711
171,0.04792219999944791
172,0.04677209998772014
173,0.05085020000115037
174,0.054640699992887676
175,0.06042449999949895
176,0.0665834000101313
177,0.07148189999861643
178,0.0698495999968145
179,0.09092569998756517
180,0.09351460001198575
181,0.09148489999643061
182,0.049993099994026124
183,0.060894499998539686
184,0.053122900004382245
185,0.05674279999220744
186,0.06071809999411926
187,0.057954400006565265
188,0.05676320000202395
189,0.05314270000963006
190,0.0570377000112785
191,0.049715199987986125
192,0.05143510000198148
193,0.04788290000578854
194,0.05677629999991041
195,0.04956710000988096
196,0.054148800001712516
197,0.04675470000074711
198,0.051655799994478
199,0.06634809999377467
200,0.07604620000347495
201,0.0595675999938976
202,0.07954529998824
203,0.057714300011866726
204,0.047169299999950454
205,0.0480457999947248
206,0.046079200008534826
207,0.04740390001097694
208,0.0542390000045998
209,0.047958099996321835
210,0.045787000010022894
211,0.04551989999890793
212,0.0486726999952225
213,0.04795480000029784
214,0.047916499999701045
215,0.05070770000747871
216,0.04607890000625048
217,0.05294989999674726
218,0.052743799999007024
219,0.04802590000326745
220,0.046737800003029406
221,0.047778000007383525
222,0.047861099999863654
223,0.057430100001511164
224,0.05094600000302307
225,0.04802239999116864
226,0.05528640000557061
227,0.052900700000463985
228,0.05390879999322351
229,0.05043899999873247
230,0.048436600001878105
231,0.05236460000742227
232,0.060468800002126954
233,0.04676179999660235
234,0.05010789999505505
235,0.047507600000244565
236,0.05320790001132991
237,0.05936759999895003
238,0.061954899996635504
239,0.048064799993881024
240,0.048770800000056624
241,0.04836829999112524
242,0.05149499999242835
243,0.06267789998673834
244,0.05154640000546351
245,0.05464370000117924
246,0.048621099995216355
247,0.05411450000246987
248,0.050924399998621084
249,0.05369849999260623
250,0.050532499997643754
251,0.06612059999315534
252,0.052838499992503785
253,0.05389110000396613
254,0.049264699991908856
255,0.050748299996485
256,0.06212479999521747
257,0.054231400004937313
258,0.05644909999682568
259,0.049482799993711524
260,0.05284699999901932
261,0.048910000012256205
262,0.05211550000240095
263,0.046423200008575805
264,0.0603387000010116
265,0.051744099997449666
266,0.05248689999280032
267,0.0563999000005424
268,0.05141100000764709
269,0.04494890000205487
270,0.05872859999362845
271,0.06461500001023524
272,0.06236870000429917
273,0.08141769999929238
274,0.0909288000111701
275,0.06708890000300016
276,0.05044949999137316
277,0.05044740000448655
278,0.05491829999664333
279,0.05373989998770412
280,0.04613899999822024
281,0.06381629999668803
282,0.06546710000839084
283,0.06476209999527782
284,0.06100819999119267
285,0.05473949998850003
286,0.053265800001099706
287,0.04858199998852797
288,0.044983700005104765
289,0.05540070000279229
290,0.07953380000253674
291,0.059258799999952316
292,0.059862099995370954
293,0.06180920000770129
294,0.0646104000043124
295,0.06135629999334924
296,0.06518639999558218
297,0.06522479999694042
298,0.08789950000937097
299,0.06342629999562632
300,0.06915949999529403
301,0.05901420000009239
302,0.062133200000971556
303,0.05529000000387896
304,0.05553670000517741
305,0.06782989999919664
306,0.08551999999326654
307,0.07042609999189153
308,0.05785509999259375
309,0.05134899998665787
310,0.05509030001121573
311,0.05213140000705607
312,0.052811200002906844
313,0.04788840000401251
314,0.04819219998898916
315,0.048375700003816746
316,0.04667529999278486
317,0.050052300008246675
318,0.04698169999755919
319,0.051324900006875396
320,0.0485814000130631
321,0.04848510000738315
322,0.05045609999797307
323,0.04701799999747891
324,0.05598639999516308
325,0.053290099996957
326,0.04714760000933893
327,0.06988730000739451
328,0.08266860000730958
329,0.12551270000403747
330,0.06155919999582693
331,0.04811429999244865
332,0.04830589999619406
333,0.051548499992350116
334,0.045815099991159514
335,0.04787759999453556
336,0.045832600007997826
337,0.051027900000917725
338,0.05101269998704083
339,0.048197500000242144
340,0.04528540000319481
341,0.0447963000042364
342,0.05686430000059772
343,0.055336999997962266
344,0.047706699988339096
345,0.04454519999853801
346,0.04704920000222046
347,0.04843830000027083
348,0.05015589999675285
349,0.05014760000631213
350,0.05232170000090264
351,0.047750699988682754
352,0.04884889999812003
353,0.0464473000029102
354,0.04802909999853
355,0.04618109999864828
356,0.04602300000260584
357,0.056399299995973706
358,0.04753009999694768
359,0.05172090000996832
360,0.047875599993858486
361,0.05857300000207033
362,0.07305049999558832
363,0.056699000007938594
364,0.04999349999707192
365,0.051273299992317334
366,0.05400760000338778
367,0.051930899993749335
368,0.04665009999007452
369,0.05649760000233073
370,0.05479509998986032
371,0.05444330000318587
372,0.05830520000017714
373,0.05391389998840168
374,0.055194899992784485
375,0.05128679999324959
376,0.046024700000998564
377,0.04916100000264123
378,0.0491972000017995
379,0.0832415999902878
380,0.0768569999927422
381,0.0585949999949662
382,0.06335389999730978
383,0.04978859999391716
384,0.04898680000042077
385,0.05200159999367315
386,0.058525800006464124
387,0.04958930000429973
388,0.04680440000083763
389,0.0542390000045998
390,0.06292379999649711
391,0.05093129999295343
392,0.05015340000682045
393,0.050488799999584444
394,0.049787199997808784
395,0.05189109999628272
396,0.04717980000714306
397,0.047861699989880435
398,0.05091279999760445
399,0.05052319999958854
400,0.0498066000000108
401,0.048092900004121475
402,0.048009900012402795
403,0.04852060000121128
404,0.05124660000728909
405,0.04810390000056941
406,0.04947640000318643
407,0.04681470000650734
408,0.047121099996729754
409,0.05341690000204835
410,0.0468581000022823
411,0.04688429999805521
